17,14
13,4
11,22
0,10
2,27
1,27
11,1
20,6
18,23
11,18
18,26
27,7
0,23
20,22
3,22
13,2
17,2
16,1
23,11
20,17
1,22
26,23
6,4
29,26
29,24
23,13
12,5
0,6
12,9
24,11
13,24
17,1
18,11
22,11
8,20
6,20
20,16
24,15
1,26
1,25
22,27
19,8
9,27
18,21
14,20
13,28
4,2
23,14
13,6
6,8
24,21
3,28
9,26
0,7
11,10
28,0
26,19
3,9
3,15
8,16
21,12
10,29
11,26
0,27
0,16
2,1
10,11
24,1
11,0
27,18
25,6
8,16
27,14
25,5
3,16
25,8
11,3
27,0
22,24
24,24
2,12
10,7
23,29
26,13
29,29
8,5
7,17
2,1
27,13
25,11
17,13
19,27
15,25
8,19
24,28
21,14
22,12
17,18
23,10
21,27
